HCM2017-02-15,2017-02-15,"['{""pre"": ""rain"", ""hum"": 0.58, ""sum"": ""Clear"", ""temp"": 79, ""icon"": ""clear-night""}']",HCM
HCM2017-02-16,2017-02-16,"['{""pre"": ""rain"", ""hum"": 0.62, ""sum"": ""Clear"", ""temp"": 75, ""icon"": ""clear-night""}']",HCM
HCM2017-02-17,2017-02-17,"['{""pre"": ""rain"", ""hum"": 0.64, ""sum"": ""Clear"", ""temp"": 77, ""icon"": ""clear-night""}']",HCM
HCM2017-02-18,2017-02-18,"['{""pre"": ""rain"", ""hum"": 0.69, ""sum"": ""Clear"", ""temp"": 77, ""icon"": ""clear-night""}']",HCM
HCM2017-02-19,2017-02-19,"['{""pre"": ""rain"", ""hum"": 0.85, ""sum"": ""Clear"", ""temp"": 77, ""icon"": ""clear-night""}']",HCM
HCM2017-02-20,2017-02-20,"['{""pre"": ""rain"", ""hum"": 0.85, ""sum"": ""Clear"", ""temp"": 77, ""icon"": ""clear-night""}']",HCM
HCM2017-02-21,2017-02-21,"['{""pre"": ""rain"", ""hum"": 0.82, ""sum"": ""Clear"", ""temp"": 79, ""icon"": ""clear-night""}']",HCM
HCM2017-02-22,2017-02-22,"['{""pre"": ""rain"", ""hum"": 0.88, ""sum"": ""Clear"", ""temp"": 79, ""icon"": ""clear-night""}']",HCM
HCM2017-02-23,2017-02-23,"['{""pre"": ""rain"", ""hum"": 0.77, ""sum"": ""Clear"", ""temp"": 81, ""icon"": ""clear-night""}']",HCM
HCM2017-02-24,2017-02-24,"['{""pre"": ""rain"", ""hum"": 0.79, ""sum"": ""Clear"", ""temp"": 79, ""icon"": ""clear-night""}']",HCM
HCM2017-02-25,2017-02-25,"['{""pre"": ""rain"", ""hum"": 0.82, ""sum"": ""Clear"", ""temp"": 79, ""icon"": ""clear-night""}']",HCM
HCM2017-02-26,2017-02-26,"['{""pre"": ""rain"", ""hum"": 0.77, ""sum"": ""Clear"", ""temp"": 81, ""icon"": ""clear-night""}']",HCM
HCM2017-02-27,2017-02-27,"['{""pre"": ""rain"", ""hum"": 1, ""sum"": ""Humid"", ""temp"": 75, ""icon"": ""clear-night""}']",HCM
HCM2017-02-28,2017-02-28,"['{""pre"": ""rain"", ""hum"": 0.82, ""sum"": ""Clear"", ""temp"": 79, ""icon"": ""clear-night""}']",HCM
